core_id,source_group,title,year,journal,doi,file_path,topic_tags,notes
ARXIV-001,open_downloaded,Thermal conductivity tensor of beta-HMX as a function of pressure and temperature from equilibrium molecular dynamics simulations,2023,arXiv,,papers/core_downloaded/ARXIV-001-thermal-conductivity-beta-hmx-pressure-temperature-md.pdf,HMX;thermal_conductivity;equilibrium_MD,"1314001 bytes, 15 pages"
ARXIV-002,open_downloaded,Intergranular Hotspots: A Molecular Dynamics Study on the Influence of Compressive and Shear Work,2023,arXiv,,papers/core_downloaded/ARXIV-002-intergranular-hotspots-md-compressive-shear-work.pdf,TATB;PETN;hotspot;shock;MD,"3110940 bytes, 31 pages"
ARXIV-003,open_downloaded,Heat-current filtering for Green-Kubo and Helfand-moment molecular dynamics predictions of thermal conductivity: Application to beta-HMX,2021,arXiv,,papers/core_downloaded/ARXIV-003-green-kubo-helfand-thermal-conductivity-beta-hmx.pdf,HMX;thermal_conductivity;Green-Kubo;MD,"4950473 bytes, 13 pages"
ARXIV-004,open_downloaded,Elastic anisotropy of TATB as a function of temperature and pressure: A Molecular Dynamics study,2022,arXiv,,papers/core_downloaded/ARXIV-004-elastic-anisotropy-tatb-temperature-pressure-md.pdf,TATB;elasticity;pressure;temperature;MD,"1090552 bytes, 22 pages"
ARXIV-005,open_downloaded,Influence of Polymer on Shock-Induced Pore Collapse: Hotspot Criticality through Reactive Molecular Dynamics,2024,arXiv,,papers/core_downloaded/ARXIV-005-polymer-shock-pore-collapse-reactive-md.pdf,RDX;polymer;PBX;pore_collapse;reactive_MD,"984237 bytes, 21 pages"
ARXIV-006,open_downloaded,"The Potential Energy Hotspot: Effects from Impact Velocity, Defect Geometry, and Crystallographic Orientation",2021,arXiv,,papers/core_downloaded/ARXIV-006-potential-energy-hotspot-impact-velocity-defect-geometry.pdf,TATB;hotspot;pore_collapse;shock;MD,"1751568 bytes, 24 pages"
ARXIV-007,open_downloaded,Systematic Builder for All-Atom Simulations of Plastically Bonded Explosives,2022,arXiv,,papers/core_downloaded/ARXIV-007-systematic-builder-all-atom-pbx-simulations.pdf,PBX;RDX;TATB;all_atom_simulation;microstructure,"1941584 bytes, 22 pages"
ARXIV-008,open_downloaded,Graph neural network coarse-grain force field for the molecular crystal RDX,2024,arXiv,,papers/core_downloaded/ARXIV-008-gnn-coarse-grain-force-field-rdx.pdf,RDX;coarse_grain;force_field;GNN;MD,"3632296 bytes, 42 pages"
ARXIV-009,open_downloaded,A first-principles investigation of the equation of states and molecular weak spots of beta-HMX,2014,arXiv,,papers/core_downloaded/ARXIV-009-first-principles-equation-of-state-beta-hmx.pdf,HMX;DFT;equation_of_state;weak_spots,"1755542 bytes, 9 pages"
ARXIV-010,open_downloaded,Effective elastic moduli of polymer bonded explosives from finite element simulations,2005,arXiv,,papers/core_downloaded/ARXIV-010-effective-elastic-moduli-pbx-finite-element.pdf,PBX;elastic_moduli;finite_element;composite,"1337239 bytes, 33 pages"
ARXIV-011,open_downloaded,On resolving meso-scale calculations of pore-collapse-generated hotspots in energetic crystals for consistency with atomistic models,2024,arXiv,,papers/core_downloaded/ARXIV-011-mesoscale-pore-collapse-hotspots-energetic-crystals.pdf,HMX;RDX;pore_collapse;hotspot;atomistic_model,"2677358 bytes, 28 pages"
ARXIV-012,open_downloaded,High Pressure Suppression of Plasticity due to Over-Nucleation of Shear Strain,2024,arXiv,,papers/core_downloaded/ARXIV-012-high-pressure-suppression-plasticity-shear-strain.pdf,RDX;shear_band;shock;high_pressure;MD,"16199972 bytes, 24 pages"
ARXIV-014,open_downloaded,Nonlinear Electromagnetic Interactions in Energetic Materials,2015,arXiv,,papers/core_downloaded/ARXIV-014-nonlinear-electromagnetic-interactions-energetic-materials.pdf,PETN;ammonium_nitrate;energetic_materials;MD;spectroscopy,"3299734 bytes, 6 pages"
CORE-DL-001,open_downloaded,Effect of Cocrystal Behavior on Sensitivity and Thermal Decomposition Mechanisms of CL-20/HMX via Molecular Dynamics Simulations,2018,ES Materials & Manufacturing,10.30919/esmm5f126,papers/core_downloaded/CORE-DL-001-effect-of-cocrystal-behavior-on-sensitivity-and-thermal-decomposition-mechanisms.pdf,energetic_materials;MD;ReaxFF;PBX;thermal_decomposition,"2615800 bytes, 7 pages"
CORE-DL-002,open_downloaded,Molecular Dynamics Simulation on TKX-50 Based Explosives,2019,Open Access Journal of Chemistry,10.22259/2637-5834.0301004,papers/core_downloaded/CORE-DL-002-molecular-dynamics-simulation-on-tkx-50-based-explosives.pdf,energetic_materials;MD;ReaxFF;PBX;thermal_decomposition,"517004 bytes, 5 pages"
CORE-DL-003,open_downloaded,Molecular dynamics study on the effect of temperature on the properties of TATB and PBX,2022,International Journal of Frontiers in Engineering Technology,10.25236/ijfet.2022.040806,papers/core_downloaded/CORE-DL-003-molecular-dynamics-study-on-the-effect-of-temperature-on-the-properties-of-tatb.pdf,energetic_materials;MD;ReaxFF;PBX;thermal_decomposition,"1462556 bytes, 10 pages"
