local_id,category,file_path,source_path,title_or_description,topic_tags,ingestion_priority,notes
LRX-METHOD-003,reaxff_method,papers/local_reaxff/reaxff_methods/LRX-METHOD-003-reaxff-ffield-format.pdf,D:/Desktop/Reaxff/R论文/ReaxFF_ffield_format.pdf,"ReaxFF force-field file format","ReaxFF;ffield;parameter_file",low,"Useful for parser/tooling documentation"
LRX-METHOD-004,reaxff_method,papers/local_reaxff/reaxff_methods/LRX-METHOD-004-reaxff-scm-2019-equation-reference.pdf,D:/Desktop/Reaxff/R论文/ReaxFF_scm2019_Equation Reference.pdf,"ReaxFF SCM 2019 equation reference","ReaxFF;equations;method_reference",low,"Method reference"
LRX-METHOD-005,reaxff_method,papers/local_reaxff/reaxff_methods/LRX-METHOD-005-reaxff-training.pdf,D:/Desktop/Reaxff/R论文/ReaxFF_training.pdf,"ReaxFF training material","ReaxFF;training;parameterization",low,"Training slides/manual"
LRX-METHOD-006,reaxff_method,papers/local_reaxff/reaxff_methods/LRX-METHOD-006-reaxff-equations.pdf,D:/Desktop/Reaxff/R论文/ReaxFF公式.pdf,"ReaxFF equations","ReaxFF;equations;force_field",low,"Equation reference"
LRX-METHOD-007,reaxff_method,papers/local_reaxff/reaxff_methods/LRX-METHOD-007-reaxff-hydrocarbon-reactive-force-field.pdf,D:/Desktop/Reaxff/开题/reaxff：碳氢化合物的反应力场.pdf,"ReaxFF reactive force field for hydrocarbons","ReaxFF;hydrocarbon;force_field",medium,"Foundational ReaxFF method paper/reference"
LRX-METHOD-008,reaxff_method,papers/local_reaxff/reaxff_methods/LRX-METHOD-008-strachan-2003-reaxff-energetic-materials.pdf,D:/Desktop/Reaxff/开题/strachan2003.pdf,"Strachan 2003 ReaxFF/energetic-material reference","ReaxFF;energetic_materials;reactive_MD",high,"Likely foundational energetic-material ReaxFF paper; verify metadata"
LRX-METHOD-009,reaxff_method,papers/local_reaxff/reaxff_methods/LRX-METHOD-009-vanduin-2005-reaxff-energetic-materials.pdf,D:/Desktop/Reaxff/开题/vanduin2005.pdf,"van Duin 2005 ReaxFF/energetic-material reference","ReaxFF;energetic_materials;reactive_MD",high,"Likely foundational energetic-material ReaxFF paper; verify metadata"
LRX-METHOD-010,reaxff_method,papers/local_reaxff/reaxff_methods/LRX-METHOD-010-vanduin-2008-reaxff.pdf,D:/Desktop/Reaxff/vanduin2008.pdf,"van Duin 2008 ReaxFF reference","ReaxFF;method;reactive_MD",medium,"PDF title extraction returned generic metadata; verify later"
LRX-METHOD-011,reaxff_method,papers/local_reaxff/reaxff_methods/LRX-METHOD-011-huang-2019-reaxff-cu-zr.pdf,D:/Desktop/Reaxff/huang2019.pdf,"ReaxFF reactive force field for molecular dynamics simulations of liquid Cu and Zr metals","ReaxFF;Cu;Zr;force_field;MD",medium,"Not energetic-specific, but useful for force-field development examples"
LRX-METHOD-012,reaxff_method,papers/local_reaxff/reaxff_methods/LRX-METHOD-012-improving-reaxff-accuracy-transferability.pdf,D:/Desktop/Reaxff/开题/ImprovingtheAccuracy、可转让性和.pdf,"Improving the accuracy and transferability of ReaxFF","ReaxFF;accuracy;transferability;parameterization",medium,"Method reference for ReaxFF parameterization"
LRX-SI-001,supporting_info,papers/local_reaxff/supporting_info/LRX-SI-001-irikura-2013-rdx-si.pdf,D:/Desktop/Reaxff/RDX/00jp310247z_si_001.pdf,"Supporting information for LRX-CORE-001","RDX;supporting_information",low,"Do not ingest by default unless extracting supplementary reaction/pathway details"
LRX-SI-002,supporting_info,papers/local_reaxff/supporting_info/LRX-SI-002-schweigert-2015-rdx-si.pdf,D:/Desktop/Reaxff/RDX/01jp510034p_si_001.pdf,"Supporting information for LRX-CORE-002","RDX;supporting_information",low,"Do not ingest by default unless extracting supplementary reaction/pathway details"
